-0.0020,109.3260
-0.0220,109.3355
-0.0231,109.3401
-0.0235,109.3292
-0.0308,109.3377
-0.0312,109.3350
-0.0314,110.1115
-0.0399,109.3360
-0.0525,109.3469
-0.0745,109.3804
-0.0776,109.3671
-0.0903,109.3716
-0.1316,-78.4819
-0.1336,120.0347
-0.1587,117.3337
-0.1628,-78.4612
-0.1766,-78.4786
-0.1793,51.4961
-0.1806,-78.4775
-0.1893,-78.4843
-0.1909,-78.5014
-0.1991,-78.4356
-0.2143,-78.5038
-0.2246,100.6314
-0.2425,109.3758
-0.2626,-79.1148
-0.2626,-79.1149
-0.2920,-78.4565
-0.3084,-78.4473
-0.3084,-78.4502
-0.3085,100.3713
-0.3153,100.0332
-0.3200,103.1528
-0.3738,102.2896
-0.3919,102.4369
-0.4225,116.9922
-0.4620,100.3904
-0.4657,117.1750
-0.4875,117.1214
-0.4968,117.1504
-0.5012,117.1376
-0.5023,117.1149
-0.5068,100.7785
-0.5082,117.1403
-0.5211,117.1171
-0.5265,117.1145
-0.5314,101.5705
-0.5369,102.4159
-0.5750,117.0865
-0.5818,100.2801
-0.5823,117.1923
-0.6208,114.5736
-0.6256,100.1193
-0.6473,100.7468
-0.6546,100.2832
-0.6718,119.7467
-0.6844,100.2913
-0.7130,100.7876
-0.7187,100.5989
-0.7238,117.0859
-0.7859,100.2861
-0.7997,100.6525
-0.8250,103.4627
-0.8406,100.3302
-0.8704,100.3822
-0.8790,131.2622
-0.8847,100.3919
-0.8990,100.3505
-0.9016,119.8788
-0.9073,100.3508
-0.9124,100.3571
-0.9129,116.8166
-0.9171,100.3602
-0.9176,100.4578
-0.9364,100.3525
-0.9457,100.3720
-0.9531,100.3552
-0.9716,100.3964
-0.9716,116.7125
-1.0133,117.0866
-1.0218,101.6045
-1.1100,113.8709
-1.1721,119.3705
-1.1942,100.4208
-1.1989,110.5410
-1.2054,101.7315
-1.2085,116.8675
-1.2102,36.7952
-1.2114,36.7958
-1.2131,-47.1799
-1.2189,103.7932
-1.2198,36.8892
-1.2273,36.8052
-1.2296,116.9592
-1.2355,-78.6329
-1.2418,116.8770
-1.2442,109.9510
-1.2446,116.8723
-1.2486,116.7750
-1.2527,116.9293
-1.2596,36.7769
-1.2612,36.8022
-1.2651,116.8776
-1.2653,-78.6279
-1.2737,116.8572
-1.2749,116.8472
-1.2769,116.8369
-1.2784,116.8402
-1.2787,116.8218
-1.2874,36.8201
-1.2995,-47.9015
-1.3195,36.7035
-1.3265,-78.5433
-1.3294,36.7158
-1.3337,36.9283
-1.3481,100.5778
-1.3481,100.5826
-1.3486,116.6740
-1.3641,-48.2951
-1.3849,120.7593
-1.4428,-48.4473
-1.4515,103.5187
-1.4739,122.3276
-1.4855,52.4162
-1.4864,102.1183
-1.4981,116.4633
-1.5162,110.5636
-1.5384,-78.7327
-1.5882,103.6231
-1.5998,116.1860
-1.6043,103.6010
-1.6075,103.5926
-1.6118,103.6164
-1.6164,103.5895
-1.6283,103.6060
-1.7135,103.2635
-1.7547,120.6491
-1.7765,101.2879
-1.7929,100.8349
-1.8204,115.9116
-1.9555,30.1600
-1.9560,30.0934
-10.1302,-36.1763
-10.1535,123.6091
-10.1577,123.6190
-10.1704,123.6088
-10.1707,123.6095
-10.1734,123.6139
-10.1778,-48.8825
-10.1778,-48.8827
-10.4406,-45.1670
-10.4964,-39.0141
-10.9459,-37.0467
-10.9507,-37.0642
-10.9531,-37.0547
-11.0320,-38.7941
-11.0371,-38.7942
-11.2690,-37.4433
-11.3814,-40.0075
-11.5576,-41.1575
-11.7119,-47.7319
-11.7543,-49.0921
-11.7784,-55.4722
-12.0282,-77.1055
-12.0908,-45.7809
-12.0914,-45.7807
-12.1320,-45.0149
-12.1381,-45.0118
-12.1388,-45.0115
-12.1627,-39.7441
-12.1667,-38.4224
-12.1759,-43.2106
-12.2569,-38.9289
-12.3022,-37.8999
-12.3394,-38.8435
-12.3746,130.8698
-12.3961,130.8968
-12.4199,-41.8390
-12.4259,-41.7694
-12.4593,130.8362
-12.5177,-40.2858
-12.5613,-41.3883
-12.5646,-38.0178
-12.8230,-38.3990
-12.8738,-39.8565
-12.9389,-38.3871
-12.9416,-38.4173
-12.9670,-39.2621
-12.9754,-39.2766
-12.9776,-39.2835
-12.9778,-39.2806
-12.9799,-38.4631
-12.9818,-38.4499
-13.2552,-43.4170
-13.3492,-39.0606
-13.4417,-49.1332
-13.8591,-56.0895
-13.8606,-40.1137
-13.9517,-46.1983
-13.9546,-46.1954
-14.0091,-46.2138
-14.0597,-42.5211
-14.1336,-47.5159
-14.1351,-47.5065
-14.2163,-41.6826
-14.2350,-51.9253
-14.2613,-71.2271
-14.4231,-54.0561
-14.8194,-39.3036
-14.8194,-39.3042
-14.8586,-40.8313
-14.8655,-40.8276
-14.8694,-40.8444
-14.8696,-40.8443
-14.8850,-70.5961
-14.9160,-51.0809
-14.9782,-48.9249
-15.5738,-54.3253
-15.5973,128.2786
-15.6065,-56.0827
-15.6114,-47.6974
-15.6117,-56.0768
-15.6522,-47.8020
-15.6819,-48.2040
-15.6916,-47.8630
-15.6982,-49.3363
-15.6990,-47.8790
-15.7606,-47.8852
-15.7621,-47.9112
-15.7631,-47.8902
-15.7711,-47.8885
-15.7712,128.7317
-15.7720,-47.8925
-15.7727,-47.8754
-15.7733,-47.8753
-15.7743,-47.8888
-15.7791,128.7404
-15.7840,-48.1219
-15.7872,-47.9870
-15.7902,-47.8854
-15.7907,-48.0222
-15.7933,-47.8925
-15.7944,-47.9476
-15.7948,-48.0527
-15.7955,-48.0429
-15.7957,-47.9305
-15.7968,-47.9242
-15.7976,-47.9320
-15.7987,-47.9158
-15.7991,-48.1782
-15.8002,-47.9222
-15.8019,-47.8658
-15.8021,-47.9481
-15.8036,-47.9601
-15.8037,-48.0672
-15.8039,-47.9578
-15.8065,-47.8306
-15.8066,-48.0616
-15.8067,-47.8978
-15.8135,-48.0168
-15.8144,-47.9073
-15.8153,-48.0098
-15.8168,-47.8711
-15.8195,-47.8354
-15.8203,-48.1023
-15.8223,-48.0237
-15.8226,-47.9178
-15.8226,-47.9179
-15.8236,-47.9524
-15.8242,-47.9547
-15.8258,-47.8724
-15.8265,-47.9529
-15.8270,-47.9021
-15.8280,-47.9272
-15.8289,-47.9565
-15.8308,-47.9439
-15.8321,-48.0173
-15.8343,-48.0729
-15.8349,-47.9773
-15.8355,-48.0179
-15.8362,-47.8684
-15.8362,-47.9509
-15.8404,-48.0450
-15.8408,-47.9808
-15.8425,-48.0233
-15.8452,-47.8948
-15.8469,-47.8930
-15.8469,-47.9058
-15.8475,-47.9758
-15.8495,-48.9575
-15.8539,-48.9678
-15.8693,-47.9384
-15.8734,-47.8020
-15.8744,-48.0308
-15.8807,-48.0865
-15.8884,-48.0839
-15.8897,-47.7977
-15.8966,-48.1109
-15.9358,-50.1428
-15.9547,-48.0506
-15.9991,-48.0521
-16.0151,-48.0643
-16.0170,-48.0596
-16.0675,-47.9828
-16.0768,-47.9798
-16.0796,-47.9952
-16.0860,-47.9861
-16.0895,-48.5081
-16.1209,-48.4292
-16.1842,-48.6901
-16.1850,-48.6886
-16.1909,-48.6716
-16.2463,-47.9089
-16.2745,-48.9683
-16.3290,-48.9469
-16.3344,-48.9406
-16.3346,-48.9521
-16.3423,-48.9684
-16.3536,-48.9614
-16.3725,-39.5626
-16.3740,-39.5749
-16.3752,-39.5816
-16.3930,-39.0432
-16.4207,-54.7063
-16.4237,-39.0568
-16.4741,145.3490
-16.5268,145.4629
-16.6235,-49.2192
-16.6295,-49.2787
-16.6462,-49.2415
-16.6579,-49.3248
-16.6603,-49.4855
-16.6615,-49.2616
-16.6617,-49.2551
-16.6631,-49.4902
-16.6639,-49.2336
-16.6663,-49.3085
-16.6833,-49.2666
-16.6855,-49.2748
-16.6861,-49.2692
-16.6876,-49.2604
-16.6891,-49.2663
-16.6909,-49.2617
-16.6925,-49.2353
-16.6930,-49.2523
-16.6938,-49.2461
-16.6944,-49.2735
-16.6954,-49.2580
-16.6957,-49.2696
-16.6967,-49.2699
-16.6972,-49.2697
-16.6976,-49.2434
-16.7020,-49.2645
-16.7021,-49.2626
-16.7028,-49.2426
-16.7029,-49.2653
-16.7030,-49.2618
-16.7030,-49.2727
-16.7033,-49.2553
-16.7043,-49.2416
-16.7057,-49.2390
-16.7062,-49.2407
-16.7079,-49.2543
-16.7097,-49.2675
-16.7097,-49.3142
-16.7103,-49.2552
